shuffle_ds,balance_ds,split_prcnts,,,net_cnn_name,freeze_layers,numHiddenUnits,drop_prob,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatiences,acc,uar,F1,sensitivity,PPV,specificity,loss_train_best,loss_val_best,loss_train_end,loss_val_end
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.001,0.0001,0.9,10,51.7,51.7,57.9,66.4,51.3,37,0.694924334,0.693130374,0.693432041,0.693150818
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.001,0.003,0.7,10,50,50,0,0,NaN,100,0.693263785,0.693147302,0.693159652,0.693149924
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.0003,0.0003,0.9,10,52.1,52.1,57.8,65.8,51.6,38.4,0.691707524,0.689853191,0.689644971,0.703971624
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,4,0.0001,0.0003,0.9,10,51.7,51.7,55.8,61,51.4,42.5,0.693492621,0.689668536,0.019892835,1.97399354
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,4,0.003,0.001,0.9,10,49.7,49.7,66.2,98.6,49.8,0.7,0.709917942,0.693160594,0.707964203,0.729359269
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.001,0.01,0.99,10,47.6,47.6,55.4,65.1,48.2,30.1,0.687164783,0.690175891,0.693809711,0.693148255
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.0001,0.0003,0.99,10,57.2,57.2,61.5,68.5,55.9,45.9,0.680776702,0.680238008,0.045338383,1.983528733
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.001,0.0003,0.99,10,51.7,51.7,57.9,66.4,51.3,37,0.695817427,0.693147302,0.693516764,0.693149686
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,8,0.01,0.003,0.7,10,54.1,54.1,58.9,65.8,53.3,42.5,0.731062687,0.681066632,0.731062687,0.681066632
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.001,0.003,0.7,10,57.2,57.2,65.4,80.8,54.9,33.6,0.693400679,0.693147838,0.69316875,0.693148315
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.0003,0.0001,0.99,10,46.9,46.9,56.1,67.8,47.8,26,0.688779975,0.668353379,0.689489868,0.674890041
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.01,0.0003,0.7,10,50,50,0,0,NaN,100,0.729659549,0.693148136,0.694745676,0.693148136
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.01,0.001,0.99,10,50,50,63.7,87.7,50,12.3,1.16015934,0.698621631,2.488272737,2.312609196
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,8,0.0001,0.01,0.9,10,55.8,55.8,57.7,60.3,55.3,51.4,0.672830162,0.676686645,0.648165838,0.691347003
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.01,0.0001,0.99,10,50,50,0,0,NaN,100,2.263334632,0.693345428,1.650847425,0.70215714
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,4,0.01,0.0001,0.7,10,50,50,0,0,NaN,100,0.694608152,0.692007124,0.750187481,0.744584799
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.003,0.0003,0.9,10,50,50,0,0,NaN,100,0.768336662,0.693241835,0.714880224,0.718138695
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,4,0.01,0.003,0.99,10,50,50,66.7,100,50,0,1.200545407,0.696504295,0.995866355,2.051347733
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.001,0.0003,0.99,10,58.2,58.2,61.6,67.1,57,49.3,0.710227875,0.680845261,0.694558546,0.693192959
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.0003,0.001,0.99,10,50,50,55.8,63,50,37,0.695000025,0.69165498,0.69395214,0.693152547
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.01,0.003,0.99,10,53.4,53.4,59.3,67.8,52.7,39,1.007628137,0.693246603,0.993631011,0.697766125
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,4,0.001,0.003,0.9,10,49.3,49.3,54.9,61.6,49.5,37,0.723822811,0.69283402,0.693296606,0.693147302
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.003,0.001,0.9,10,50,50,0,0,NaN,100,0.753593147,0.693049967,0.703995666,0.695978761
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.003,0.0003,0.9,10,50,50,66.7,100,50,0,0.718768766,0.693147838,0.717392076,0.695146084
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.01,0.01,0.9,10,45.2,45.2,55.1,67.1,46.7,23.3,0.763492019,0.693413019,0.754187064,0.722317994
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,4,0.0003,0.001,0.99,10,57.2,57.2,60.1,64.4,56.3,50,0.709440355,0.689519405,0.695932787,0.693444133
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,8,0.0001,0.0001,0.7,10,51.7,51.7,56.1,61.6,51.4,41.8,0.700642442,0.677561641,0.073164517,1.761171579
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.0001,0.0001,0.9,10,58.9,58.9,59.5,60.3,58.7,57.5,0.70084109,0.685100615,0.001507931,2.347438574
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.01,0.0001,0.9,10,50,50,0,0,NaN,100,0.707980895,0.693179131,0.707467556,0.693862915
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.001,0.003,0.9,10,50,50,0,0,NaN,100,0.694480333,0.693147302,0.693256879,0.693147302
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.01,0.003,0.7,10,50.7,50.7,55.3,61,50.6,40.4,0.702509086,0.692519903,0.703383967,0.693399131
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.003,0.0001,0.9,10,50,50,0,0,NaN,100,0.700143837,0.693216324,0.697808975,0.694491982
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.0003,0.0001,0.9,10,49,49,54.2,60.3,49.2,37.7,0.689654216,0.680673659,0.687220934,0.68405807
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.01,0.003,0.9,10,49.3,49.3,56.7,66.4,49.5,32.2,0.872378932,0.693268776,0.739048748,0.825374782
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.0003,0.0001,0.99,10,46.2,46.2,54,63,47.2,29.5,0.693242047,0.691662014,0.693750824,0.693147421
