shuffle_ds,balance_ds,split_prcnts,,,net_cnn_name,freeze_layers,numHiddenUnits,drop_prob,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatiences,acc,uar,F1,sensitivity,PPV,specificity,loss_train_best,loss_val_best,loss_train_end,loss_val_end
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.003,0.001,0.7,10,44.2,44.2,52.5,61.6,45.7,26.7,0.690685596640252,0.689785003662109,0.697228583026694,0.692340612411499
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.01,0.7,10,53.4,53.4,64,82.9,52.2,24,0.693676762112744,0.693151831626892,0.693159618606306,0.693152904510498
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.0003,0.01,0.9,10,56.2,56.2,59,63,55.4,49.3,0.697146479689747,0.685011148452759,0.693111608881469,0.692204535007477
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.003,0.9,10,50,50,66.7,100,50,0,0.69338846206665,0.693147301673889,0.693255156414694,0.693160355091095
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.001,0.0001,0.9,10,46.2,46.2,53.1,61,47.1,31.5,0.699944246252742,0.69296795129776,0.693312926576772,0.693163394927979
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,8,0.0003,0.001,0.9,10,54.5,54.5,57,60.3,54,48.6,0.690494139260108,0.687482237815857,0.68145071585244,0.697608470916748
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.0001,0.001,0.7,10,61.6,61.6,61.6,61.6,61.6,61.6,0.644149339800581,0.684938669204712,0.291100721088571,0.952456951141357
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,8,0.01,0.0003,0.9,10,50,50,0,0,NaN,100,0.852545062609769,0.694728016853333,0.822095081893676,0.705015897750854
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.01,0.01,0.7,10,53.1,53.1,57.1,62.3,52.6,43.8,0.698550934091621,0.693142712116241,0.696675325205567,0.693154573440552
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,4,0.01,0.0003,0.9,10,50,50,0,0,NaN,100,1.41487871943952,0.693748652935028,0.795219623402918,0.727330029010773
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.003,0.0001,0.7,10,49.7,49.7,66.4,99.3,49.8,0,0.69375701554834,0.693147361278534,0.692730633091165,0.693155884742737
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,8,0.0003,0.0003,0.7,10,53.8,53.8,57.7,63,53.2,44.5,0.65565754432197,0.673048853874207,0.599830905778692,0.696195423603058
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.0001,0.0003,0.7,10,60.3,60.3,60.5,61,60.1,59.6,0.668267793064817,0.66876220703125,0.141245362647903,1.28898620605469
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.01,0.001,0.7,10,50,50,66.5,99.3,50,0.7,0.752927153208934,0.693152487277985,0.752927153208934,0.693152487277985
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.0001,0.0001,0.99,10,54.8,54.8,57.7,61.6,54.2,47.9,0.673382555376993,0.666748821735382,0.119696555799711,1.43154239654541
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.0001,0.01,0.7,10,49.3,49.3,54.3,60.3,49.4,38.4,0.684152973569147,0.679752051830292,0.683128995982479,0.684061169624329
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,8,0.0001,0.0001,0.99,10,60.3,60.3,60.8,61.6,60,58.9,0.679415755315658,0.673362970352173,0.0049306387877425,1.62879729270935
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.0001,0.0003,0.99,10,59.2,59.2,62,66.4,58.1,52.1,0.664964564586883,0.681859076023102,0.0640248121520154,1.71558690071106
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.003,0.7,10,49.3,49.3,55.4,63,49.5,35.6,0.692193769156661,0.685061812400818,0.686753918863323,0.688093960285187
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,4,0.01,0.0003,0.7,10,49.3,49.3,64.4,91.8,49.6,6.8,1.17064725643356,0.693481683731079,0.725570320402651,0.694763898849487
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.0001,0.0003,0.9,10,58.6,58.6,61.6,66.4,57.4,50.7,0.655115941522318,0.682183623313904,0.00109189801644897,2.39368486404419
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,8,0.0001,0.0003,0.7,10,55.1,55.1,58.9,64.4,54.3,45.9,0.671000608063619,0.679482102394104,0.0646617074343248,1.7713383436203
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.0003,0.0003,0.99,10,54.1,54.1,57.3,61.6,53.6,46.6,0.709287044652011,0.688933610916138,0.693792577183575,0.693186402320862
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.01,0.01,0.7,10,51.4,51.4,65.9,93.8,50.7,8.9,0.911114859798728,0.693147301673889,0.911268824005508,0.693161606788635
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.001,0.0003,0.9,10,58.9,58.9,64.3,74,56.8,43.8,0.69338401131434,0.693147242069244,0.693334409363194,0.693151652812958
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.0003,0.001,0.7,10,54.5,54.5,57,60.3,54,48.6,0.678049598265132,0.68428111076355,0.655582285255467,0.689804792404175
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.01,0.01,0.99,10,42.8,42.8,52.1,62.3,44.8,23.3,0.787853141170029,0.693274259567261,0.792843906157607,0.713503360748291
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.01,0.0003,0.7,10,50,50,66.2,97.9,50,2.1,0.798118992409575,0.693147420883179,0.790662072393872,0.694078981876373
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.01,0.003,0.7,10,53.8,53.8,57.1,61.6,53.3,45.9,0.69745993695847,0.69314706325531,0.700257526957281,0.693150162696838
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.001,0.0003,0.9,10,59.2,59.2,63.4,70.5,57.5,47.9,0.69367748362833,0.693147122859955,0.693270108199011,0.69315242767334
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.0001,0.001,0.9,10,56.8,56.8,60.1,65.1,55.9,48.6,0.648805348424736,0.674348592758179,0.017892815354905,2.13314771652222
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.0003,0.9,10,50,50,66.5,99.3,50,0.7,0.74051592842629,0.694370150566101,0.71498452133784,0.87021005153656
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.001,0.01,0.7,10,50,50,0,0,NaN,100,0.693153042499333,0.693147420883179,0.693146260089526,0.693147838115692
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.003,0.0003,0.9,10,50,50,0,0,NaN,100,0.716599911724756,0.693147242069244,0.70129857642935,0.722666025161743
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,4,0.001,0.001,0.9,10,51.7,51.7,60.7,74.7,51.2,28.8,0.693265019214317,0.693147242069244,0.693417255192587,0.693147361278534
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,4,0.01,0.0003,0.9,10,50,50,0,0,NaN,100,1.14645425589185,0.705611348152161,0.890520485840976,0.74448025226593
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.003,0.01,0.9,10,50,50,0,0,NaN,100,0.693312235381625,0.693147301673889,0.693196334423275,0.693148076534271
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,4,0.01,0.003,0.7,10,50,50,0,0,NaN,100,0.751540972353661,0.6931471824646,0.743143413164844,0.693156719207764
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.01,0.001,0.9,10,50,50,0,0,NaN,100,0.847737093698488,0.695491909980774,0.900998246281931,0.774240911006927
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,4,0.01,0.0001,0.9,10,50,50,0,0,NaN,100,0.814025668180697,0.69331431388855,0.751285456767365,0.699671685695648
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.01,0.0003,0.99,10,50,50,0,0,NaN,100,1.09262505419757,0.783654451370239,1.69706275238903,1.81039917469025
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,4,0.0003,0.003,0.99,10,50,50,0,0,NaN,100,0.693200697093249,0.6931471824646,0.693200697093249,0.6931471824646
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.003,0.0001,0.7,10,50,50,0,0,NaN,100,0.694275057643925,0.693147301673889,0.694275057643925,0.693147301673889
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.003,0.0001,0.7,10,50,50,0,0,NaN,100,0.694585190788252,0.693148136138916,0.694143916918262,0.693148136138916
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.003,0.0001,0.99,10,49.7,49.7,66.4,99.3,49.8,0,0.750907244951758,0.693206489086151,0.749784768716385,0.700458765029907
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.0001,0.0003,0.7,10,46.9,46.9,53.5,61,47.6,32.9,0.698427617549896,0.69265878200531,0.0291977715826026,1.96262502670288
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
