shuffle_ds,,,split_prcnts,net_cnn_name,freeze_layers,win_len,overlap_win,overlap_spectrograms,spectrum_type,win_norm,filter_bank_norm,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,acc,uar,F1,sensitivity,PPV,specificity,loss_train,loss_val
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,magnitude,0,none,16,0.01,0.0001,0.99,5,54.266,57.398,49.606,66.9,39.6,47.9,0.749283436603727,0.691332471370697
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,magnitude,1,none,16,0.01,0.0001,0.9,5,70.308,70.504,61.494,71.06,54.56,69.98,0.625614114194613,0.647126245498657
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,power,1,none,32,0.003,0.0003,0.9,5,65.028,66.176,57.576,69.68,49.56,62.7,0.685961118383448,0.656420385837555
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.85,magnitude,0,none,64,0.01,0.001,0.99,5,55.21,59.666,52.794,73.1,41.8,46.2,0.678518135303541,0.668892168998718
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,power,0,none,64,0.0003,0.0001,0.9,5,70.806,70.69,61.948,70.34,55.92,71,0.664761630138748,0.769506704807281
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,magnitude,0,none,32,0.0001,0.0001,0.99,5,68.13,69.372,60.562,73.12,52.26,65.6,0.567473818484925,0.706280982494354
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.9,magnitude,0,none,64,0.001,0.001,0.9,5,63.826,65.454,56.386,70.36,47.28,60.56,0.642278772583148,0.701887702941895
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,magnitude,1,none,32,0.0001,0.0001,0.7,5,67.75,68.74,59.71,71.72,51.26,65.74,0.657153888921721,0.709763491153717
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,power,0,none,16,0.0003,0.01,0.7,5,65.904,68.39,60,75.88,49.96,60.92,0.5861922352753,0.646319007873535
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.75,power,1,none,16,0.003,0.001,0.7,5,60.772,64,56.23,73.8,46.08,54.2,0.6943610539717,0.666907477378845
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,power,0,none,16,0.003,0.0003,0.99,5,45.696,51.6,39.534,69.66,NaN,33.56,0.693540807514534,0.698445844650269
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,magnitude,0,none,32,0.0001,0.003,0.99,5,67.508,69.75,61.078,76.56,51.24,62.96,1.02042325976323,0.902548491954803
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.75,power,1,none,32,0.001,0.003,0.7,5,62.746,64.794,56.224,71.04,46.68,58.56,0.744371518927531,0.674081027507782
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.9,power,1,none,16,0.0003,0.001,0.99,5,66.958,68.644,60.336,73.82,51.52,63.5,0.684390334438019,0.739497375488281
