80.7 ± 0,78.2 ± 0,70.9 ± 0,70.9 ± 0,70.9 ± 0,85.5 ± 0,61 ± 0,65.8 ± 0
73.6 ± 0,70.7 ± 0,61 ± 0,62.1 ± 0,60 ± 0,79.3 ± 0,61 ± 0,65.8 ± 0
64 ± 0,59.3 ± 0,45.6 ± 0,44.8 ± 0,46.4 ± 0,73.7 ± 0,61 ± 0,65.8 ± 0
