datasetNames,"splitPrcnts,,",shuffleDatasets,changeSubjectsOrder,winLen,overlapCoeffWin,overlapCoeffSpectrograms,SpectrumType,WindowNormalization,FilterBankNormalization,numHiddenUnits,dropProb,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,ACC,UAR,F1,sensitivity,PPV,specificity,auc,trainLOSS,valLOSS
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.85,magnitude,0,none,512,0.3,30,4,0.01,0.01,0.99,10,37.36465062,50.48192771,53.99697625,100,36.98477444,0.963855422,50.07248506,1.219198223,0.702992618
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.8,power,0,none,256,0.05,30,4,0.01,0.0001,0.9,10,36.85026424,50.12048193,53.75180466,100,36.75396359,0.240963855,50.12048193,0.843807281,0.694661951
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.7,power,1,none,256,0.1,30,4,0.0003,0.0001,0.99,10,50.03600264,58.79376041,57.77154919,92.08333333,42.48034958,25.50418748,60.72090802,0.708744191,0.688892722
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.85,magnitude,0,none,512,0.05,30,4,0.0001,0.001,0.9,10,70.64122137,72.17020521,66.39273429,77.91666667,59.69041318,66.42374376,77.12667744,0.400174545,0.568419039
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.8,power,1,none,256,0.1,30,4,0.0001,0.003,0.9,10,67.81369275,70.4748996,65.1480229,80.41666667,55.95840761,60.53313253,74.3592495,0.519725546,0.584637082
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.7,magnitude,0,none,1024,0.2,30,4,0.0001,0.003,0.9,10,69.71344686,73.79285434,68.70689708,89.16666667,56.48630509,58.41904202,76.8851626,0.461603891,0.550190079
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.85,magnitude,0,none,1024,0.01,30,4,0.003,0.0003,0.7,10,36.64122137,50,53.63128492,100,36.64122137,0,49.43273092,0.708346421,0.694270074
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.85,power,0,none,1024,0.2,30,4,0.0001,0.01,0.7,10,73.70170288,74.67504163,68.68254899,78.33333333,61.40128981,71.01674993,78.53027966,0.421484507,0.532730746
,",,",,,,,,,,,,,,,,,,,,,,,,,,,
,",,",,,,,,,,,,,,,,,,,,,,,,,,,
