Row,accuracy [%],UAR [%],F1 [%],sensitivity [%],PPV [%],specificity [%]
train,45.7,48.7,48.8,64.2,39.4,33.2
val,61,61.9,62.6,71.6,55.7,52.2
test,42.8,48.1,48.4,70.5,36.8,25.7
